ControlFlow,Exceptions,Expressions,Functions,Literal,LogicalExpression,LoopControlFlow,Loops,ObjectExpressions,Pattern,Property,Return,Statements,ThisExpression,VariableDeclarator,arrayManipulation,avg_str_length,concatenation,dom_operations,encodingObfuscation,eval,file_length,funcArgsCallExpression,funcArgsPrimitiveVal,funcReturnString,funcSelfInvoking,stringCount,varConcatenation,varWithArrayExpression,varWithCallExpression,varWithLiteralString,varWithNewExpression,varWithObjExpression,varWithThisExpression,Class
9,0,112,10,18,13,0,0,16,0,14,5,44,6,6,0,9,1,2,0,0,4557,2,4,0,6,11,0,0,0,0,0,1,0,Benign
16,0,129,18,83,12,0,1,22,0,42,10,73,0,16,5,12,1,20,0,0,6763,3,20,3,7,66,0,0,4,4,1,1,0,Benign
31,0,148,31,153,0,0,0,1,0,32,51,77,0,15,0,11,69,0,0,0,5554,0,11,0,0,1,6,0,0,0,0,0,0,Benign
0,0,9,0,34046,0,0,1,1,0,0,0,3,0,4,1,0,0,0,1,1,78672,0,0,0,0,92,0,1,0,1,1,0,0,Malicious
30,7,295,26,57,16,0,1,9,0,15,12,137,24,28,3,11,11,30,3,0,10605,0,21,0,5,35,2,0,7,2,3,0,0,Benign
2,4,617,7,585,0,4,5,2,0,0,6,305,1,35,2,10,9,6,1,0,12448,3,8,1,0,53,2,2,4,5,10,0,0,Malicious
276,17,5093,424,1148,329,7,18,189,25,289,209,678,911,617,22,9,16,73,26,0,87802,32,221,4,20,835,14,3,155,232,7,43,8,Benign
12,0,118,11,41,4,0,2,5,0,11,9,44,19,5,3,2,11,0,4,0,4976,1,8,0,2,22,0,1,1,0,0,0,0,Benign
0,0,15966,1,15968,0,0,1,1,0,0,1,92,0,91,0,1,4,0,0,1,128965,0,0,0,0,94,1,1,0,1,0,0,0,Malicious
38,0,564,32,109,14,4,1,14,0,48,13,131,103,40,0,6,15,1,4,0,9911,5,26,0,7,68,0,0,10,0,0,1,3,Benign
1,0,67,2,34,0,0,0,0,0,0,3,31,0,1,3,384,0,0,2,1,13434,26,32,0,0,33,0,0,0,0,1,0,0,Malicious
1,0,18,1,34338,0,0,1,1,0,92,1,9,2,8,0,1,17088,0,0,1,145468,0,1,0,0,34335,2,0,2,1,1,1,0,Malicious
1,0,33,6,7,0,0,0,1,0,2,0,17,2,2,0,20,2,1,0,0,1669,1,5,0,3,7,1,0,1,0,0,0,0,Benign
1,0,15,1,17282,0,0,1,1,0,91,1,9,1,9,0,3,34,1,0,1,106335,0,1,0,0,17280,2,0,3,1,1,1,0,Malicious
0,0,9,0,17181,0,0,1,1,0,92,0,4,0,4,0,2,1,0,0,1,95323,0,0,0,0,17180,0,0,0,1,1,1,0,Malicious
1,0,105,1,106,0,0,0,0,0,0,2,5,0,24,1,162,1,0,0,1,15043,23,29,0,0,82,0,0,1,0,0,0,0,Malicious
1,0,2,0,11343,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,109525,0,0,0,0,11342,0,1,0,0,0,0,0,Malicious
19,2,279,19,763,8,5,11,20,0,0,12,116,3,70,0,79,62,2,9,1,26974,6,13,0,0,141,4,3,21,7,9,0,0,Malicious
1,0,105,1,129,0,0,0,0,0,0,2,5,0,24,1,362,1,0,0,1,77758,23,29,0,0,82,0,0,1,0,0,0,0,Malicious
1,0,105,1,129,0,0,0,0,0,0,2,5,0,24,1,361,1,0,0,1,77676,23,29,0,0,82,0,0,1,0,0,0,0,Malicious
33,2,627,57,189,153,1,7,23,0,50,16,117,2,136,1,7,10,3,2,0,7257,2,47,0,19,88,2,3,16,2,0,2,0,Benign
5,0,92,7,59,0,0,0,5,0,5,0,41,2,7,0,9,4,3,0,0,2268,0,42,0,5,30,0,0,3,0,0,0,0,Benign
